id;id_kategori;kbli_2_digit_deskripsi;nama_variabel;tahun;jumlah
137;559;Furnitur;Kecil;2012;46226
138;559;Furnitur;Mikro;2012;136983
139;559;Pengolahan Lainnya;Mikro;2012;113818
140;559;Pengolahan Lainnya;Kecil;2012;23884
141;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2012;7270
142;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2012;1103
143;559;JUMLAH;Mikro;2012;2812747
144;559;JUMLAH;Kecil;2012;405296
145;559;Makanan;Mikro;2013;1008890
146;559;Makanan;Kecil;2013;158651
147;559;Minuman;Mikro;2013;45508
148;559;Minuman;Kecil;2013;1962
149;559;Pengolahan Tembakau;Mikro;2013;48887
150;559;Pengolahan Tembakau;Kecil;2013;14823
151;559;Tekstil;Kecil;2013;27541
152;559;Tekstil;Mikro;2013;265498
153;559;Pakaian Jadi;Mikro;2013;240833
154;559;Pakaian Jadi;Kecil;2013;99169
155;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2013;17326
156;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2013;22824
157;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2013;53130
158;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2013;728786
159;559;Kertas dan Barang dari Kertas;Mikro;2013;8672
160;559;Kertas dan Barang dari Kertas;Kecil;2013;1430
161;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2013;22918
162;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2013;8666
163;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2013;20181
164;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2013;3987
165;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2013;909
166;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2013;5607
167;559;Karet Barang dari Karet dan Plastik;Mikro;2013;19999
168;559;Karet Barang dari Karet dan Plastik;Kecil;2013;1999
169;559;Barang Galian Bukan Logam;Mikro;2013;196845
170;559;Barang Galian Bukan Logam;Kecil;2013;69017
171;559;Logam Dasar;Kecil;2013;310
172;559;Logam Dasar;Mikro;2013;1080
173;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2013;61801
174;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2013;17934
175;559;Komputer Barang Elektronik dan Optik;Mikro;2013;121
176;559;Komputer Barang Elektronik dan Optik;Kecil;2013;218
177;559;Peralatan Listrik;Mikro;2013;324
178;559;Peralatan Listrik;Kecil;2013;291
179;559;Mesin dan Perlengkapan ytdl;Mikro;2013;633
180;559;Mesin dan Perlengkapan ytdl;Kecil;2013;1178
181;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2013;1800
182;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2013;1449
183;559;Alat Angkutan Lainnya;Mikro;2013;5537
184;559;Alat Angkutan Lainnya;Kecil;2013;839
185;559;Furnitur;Mikro;2013;102957
186;559;Furnitur;Kecil;2013;30874
187;559;Pengolahan Lainnya;Mikro;2013;75071
188;559;Pengolahan Lainnya;Kecil;2013;13723
189;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2013;7741
190;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2013;427
191;559;JUMLAH;Mikro;2013;2887015
192;559;JUMLAH;Kecil;2013;531351
193;559;Makanan;Mikro;2014;1125425
194;559;Makanan;Kecil;2014;73066
195;559;Minuman;Kecil;2014;1401
196;559;Minuman;Mikro;2014;43293
197;559;Pengolahan Tembakau;Kecil;2014;21590
198;559;Pengolahan Tembakau;Mikro;2014;43152
199;559;Tekstil;Kecil;2014;12246
200;559;Tekstil;Mikro;2014;291151
201;559;Pakaian Jadi;Mikro;2014;304418
202;559;Pakaian Jadi;Kecil;2014;50165
203;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2014;30789
204;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2014;12477
205;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2014;784753
206;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2014;20729
207;559;Kertas dan Barang dari Kertas;Kecil;2014;1160
208;559;Kertas dan Barang dari Kertas;Mikro;2014;7904
209;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2014;8295
210;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2014;22719
211;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2014;1813
212;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2014;22065
213;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2014;6206
214;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2014;238
215;559;Karet Barang dari Karet dan Plastik;Kecil;2014;2790
216;559;Karet Barang dari Karet dan Plastik;Mikro;2014;14300
217;559;Barang Galian Bukan Logam;Kecil;2014;33324
218;559;Barang Galian Bukan Logam;Mikro;2014;242242
219;559;Logam Dasar;Kecil;2014;146
220;559;Logam Dasar;Mikro;2014;1801
221;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2014;67825
222;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2014;12749
223;559;Komputer Barang Elektronik dan Optik;Kecil;2014;134
224;559;Komputer Barang Elektronik dan Optik;Mikro;2014;224
225;559;Peralatan Listrik;Mikro;2014;32
226;559;Peralatan Listrik;Kecil;2014;220
227;559;Mesin dan Perlengkapan ytdl;Mikro;2014;1265
228;559;Mesin dan Perlengkapan ytdl;Kecil;2014;394
229;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2014;2042
230;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2014;1530
231;559;Alat Angkutan Lainnya;Kecil;2014;903
232;559;Alat Angkutan Lainnya;Mikro;2014;5546
233;559;Furnitur;Mikro;2014;122182
234;559;Furnitur;Kecil;2014;19475
235;559;Pengolahan Lainnya;Mikro;2014;73274
236;559;Pengolahan Lainnya;Kecil;2014;9031
237;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2014;113
238;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2014;8467
239;559;JUMLAH;Mikro;2014;3220563
240;559;JUMLAH;Kecil;2014;284501
241;559;Makanan;Mikro;2015;1473205
242;559;Makanan;Kecil;2015;93814
243;559;Minuman;Mikro;2015;45922
244;559;Minuman;Kecil;2015;1208
245;559;Pengolahan Tembakau;Mikro;2015;43371
246;559;Pengolahan Tembakau;Kecil;2015;19750
247;559;Tekstil;Kecil;2015;4188
248;559;Tekstil;Mikro;2015;127245
249;559;Pakaian Jadi;Mikro;2015;360622
250;559;Pakaian Jadi;Kecil;2015;46601
251;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2015;32136
252;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2015;12686
253;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2015;19954
254;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2015;674970
255;559;Kertas dan Barang dari Kertas;Mikro;2015;4633
256;559;Kertas dan Barang dari Kertas;Kecil;2015;1096
257;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2015;20025
258;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2015;5330
259;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2015;20081
260;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2015;1558
261;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2015;4464
262;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2015;526
263;559;Karet Barang dari Karet dan Plastik;Kecil;2015;492
264;559;Karet Barang dari Karet dan Plastik;Mikro;2015;10155
265;559;Barang Galian Bukan Logam;Kecil;2015;29758
266;559;Barang Galian Bukan Logam;Mikro;2015;234762
267;559;Logam Dasar;Kecil;2015;461
268;559;Logam Dasar;Mikro;2015;31122
269;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2015;13990
270;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2015;99046
271;559;Komputer Barang Elektronik dan Optik;Mikro;2015;46
272;559;Komputer Barang Elektronik dan Optik;Kecil;2015;260
273;559;Peralatan Listrik;Mikro;2015;162
274;559;Peralatan Listrik;Kecil;2015;54
275;559;Mesin dan Perlengkapan ytdl;Mikro;2015;952
276;559;Mesin dan Perlengkapan ytdl;Kecil;2015;258
277;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2015;666
278;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2015;1700
279;559;Alat Angkutan Lainnya;Mikro;2015;4076
280;559;Alat Angkutan Lainnya;Kecil;2015;972
281;559;Furnitur;Mikro;2015;117901
282;559;Furnitur;Kecil;2015;20699
283;559;Pengolahan Lainnya;Kecil;2015;8123
284;559;Pengolahan Lainnya;Mikro;2015;73002
285;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2015;6253
286;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2015;578
287;559;JUMLAH;Kecil;2015;283022
288;559;JUMLAH;Mikro;2015;3385851
289;559;Makanan;Mikro;2017;1467095
290;559;Makanan;Kecil;2017;71022
291;559;Minuman;Kecil;2017;1698
292;559;Minuman;Mikro;2017;132568
293;559;Pengolahan Tembakau;Kecil;2017;104933
294;559;Pengolahan Tembakau;Mikro;2017;80561
295;559;Tekstil;Kecil;2017;9042
296;559;Tekstil;Mikro;2017;274184
297;559;Pakaian Jadi;Kecil;2017;41000
298;559;Pakaian Jadi;Mikro;2017;513003
299;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2017;62415
300;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2017;13858
301;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2017;590836
302;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2017;17506
303;559;Kertas dan Barang dari Kertas;Kecil;2017;496
304;559;Kertas dan Barang dari Kertas;Mikro;2017;6146
305;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2017;7705
306;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2017;37167
307;559;Produk dari Batu Bara dan Pengilangan Minyak Bumi;Kecil;2017;0
308;559;Produk dari Batu Bara dan Pengilangan Minyak Bumi;Mikro;2017;0
309;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2017;1235
310;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2017;37566
311;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2017;15843
312;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2017;201
313;559;Karet Barang dari Karet dan Plastik;Mikro;2017;27737
314;559;Karet Barang dari Karet dan Plastik;Kecil;2017;2329
315;559;Barang Galian Bukan Logam;Kecil;2017;38222
316;559;Barang Galian Bukan Logam;Mikro;2017;287011
317;559;Logam Dasar;Kecil;2017;458
318;559;Logam Dasar;Mikro;2017;8917
319;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2017;15720
320;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2017;168735
321;559;Komputer Barang Elektronik dan Optik;Mikro;2017;1049
322;559;Komputer Barang Elektronik dan Optik;Kecil;2017;256
323;559;Peralatan Listrik;Kecil;2017;246
324;559;Peralatan Listrik;Mikro;2017;1085
325;559;Mesin dan Perlengkapan ytdl;Kecil;2017;538
326;559;Mesin dan Perlengkapan ytdl;Mikro;2017;1728
327;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2017;453
328;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2017;1628
329;559;Alat Angkutan Lainnya;Mikro;2017;10379
330;559;Alat Angkutan Lainnya;Kecil;2017;590
331;559;Furnitur;Kecil;2017;23469
332;559;Furnitur;Mikro;2017;157096
333;559;Pengolahan Lainnya;Mikro;2017;216745
334;559;Pengolahan Lainnya;Kecil;2017;7481
335;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2017;333
336;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2017;6403
337;559;JUMLAH;Mikro;2017;4105897
338;559;JUMLAH;Kecil;2017;358791
339;559;Makanan;Kecil;2018;59793
340;559;Makanan;Mikro;2018;1681986
341;559;Minuman;Kecil;2018;2310
342;559;Minuman;Mikro;2018;111703
343;559;Pengolahan Tembakau;Kecil;2018;73173
344;559;Pengolahan Tembakau;Mikro;2018;51406
345;559;Tekstil;Mikro;2018;253508
346;559;Tekstil;Kecil;2018;8016
347;559;Pakaian Jadi;Kecil;2018;32139
348;559;Pakaian Jadi;Mikro;2018;537606
349;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2018;11845
350;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2018;52438
351;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2018;11752
352;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2018;579132
353;559;Kertas dan Barang dari Kertas;Kecil;2018;932
354;559;Kertas dan Barang dari Kertas;Mikro;2018;5823
355;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2018;4704
356;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2018;32583
357;559;Produk dari Batu Bara dan Pengilangan Minyak Bumi;Mikro;2018;0
358;559;Produk dari Batu Bara dan Pengilangan Minyak Bumi;Kecil;2018;0
359;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2018;919
360;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2018;27917
361;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2018;8468
362;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2018;204
363;559;Karet Barang dari Karet dan Plastik;Mikro;2018;9270
364;559;Karet Barang dari Karet dan Plastik;Kecil;2018;3558
365;559;Barang Galian Bukan Logam;Kecil;2018;24553
366;559;Barang Galian Bukan Logam;Mikro;2018;201541
367;559;Logam Dasar;Mikro;2018;7232
368;559;Logam Dasar;Kecil;2018;246
369;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2018;10295
370;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2018;116171
371;559;Komputer Barang Elektronik dan Optik;Mikro;2018;697
372;559;Komputer Barang Elektronik dan Optik;Kecil;2018;100
373;559;Peralatan Listrik;Mikro;2018;516
374;559;Peralatan Listrik;Kecil;2018;214
375;559;Mesin dan Perlengkapan ytdl;Kecil;2018;397
376;559;Mesin dan Perlengkapan ytdl;Mikro;2018;3644
377;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2018;2344
378;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2018;500
379;559;Alat Angkutan Lainnya;Kecil;2018;415
380;559;Alat Angkutan Lainnya;Mikro;2018;7941
381;559;Furnitur;Mikro;2018;145442
382;559;Furnitur;Kecil;2018;15411
383;559;Pengolahan Lainnya;Mikro;2018;152358
384;559;Pengolahan Lainnya;Kecil;2018;3810
385;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Mikro;2018;8611
386;559;Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Kecil;2018;424
387;559;JUMLAH;Mikro;2018;3998337
388;559;JUMLAH;Kecil;2018;265710
389;559;Makanan;Mikro;2019;1544780
390;559;Makanan;Kecil;2019;42239
391;559;Minuman;Kecil;2019;1019
392;559;Minuman;Mikro;2019;97882
393;559;Pengolahan Tembakau;Mikro;2019;102026
394;559;Pengolahan Tembakau;Kecil;2019;103858
395;559;Tekstil;Kecil;2019;7335
396;559;Tekstil;Mikro;2019;288819
397;559;Pakaian Jadi;Mikro;2019;586412
398;559;Pakaian Jadi;Kecil;2019;27256
399;559;Kulit Barang dari Kulit dan Alas Kaki;Mikro;2019;51014
400;559;Kulit Barang dari Kulit dan Alas Kaki;Kecil;2019;6308
401;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Kecil;2019;10414
402;559;Kayu Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu Rotan dan sejenisnya;Mikro;2019;648012
403;559;Kertas dan Barang dari Kertas;Mikro;2019;8709
404;559;Kertas dan Barang dari Kertas;Kecil;2019;694
405;559;Pencetakan dan Reproduksi Media Rekaman;Kecil;2019;3839
406;559;Pencetakan dan Reproduksi Media Rekaman;Mikro;2019;27759
407;559;Produk dari Batu Bara dan Pengilangan Minyak Bumi;Kecil;2019;0
408;559;Produk dari Batu Bara dan Pengilangan Minyak Bumi;Mikro;2019;0
409;559;Bahan Kimia dan Barang dari Bahan Kimia;Kecil;2019;709
410;559;Bahan Kimia dan Barang dari Bahan Kimia;Mikro;2019;33881
411;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Kecil;2019;281
412;559;Farmasi Produk Obat Kimia dan Obat Tradisional;Mikro;2019;14316
413;559;Karet Barang dari Karet dan Plastik;Mikro;2019;13122
414;559;Karet Barang dari Karet dan Plastik;Kecil;2019;1202
415;559;Barang Galian Bukan Logam;Mikro;2019;219620
416;559;Barang Galian Bukan Logam;Kecil;2019;20521
417;559;Logam Dasar;Mikro;2019;3559
418;559;Logam Dasar;Kecil;2019;184
419;559;Barang Logam Bukan Mesin dan Peralatannya;Kecil;2019;6106
420;559;Barang Logam Bukan Mesin dan Peralatannya;Mikro;2019;114626
421;559;Komputer Barang Elektronik dan Optik;Mikro;2019;963
422;559;Komputer Barang Elektronik dan Optik;Kecil;2019;32
423;559;Peralatan Listrik;Kecil;2019;115
424;559;Peralatan Listrik;Mikro;2019;1216
425;559;Mesin dan Perlengkapan ytdl;Mikro;2019;2105
426;559;Mesin dan Perlengkapan ytdl;Kecil;2019;526
427;559;Kendaraan Bermotor Trailer dan Semi Trailer;Kecil;2019;599
428;559;Kendaraan Bermotor Trailer dan Semi Trailer;Mikro;2019;1847
429;559;Alat Angkutan Lainnya;Kecil;2019;472
